id	cat	testId	size
3128284	cshd	source	5913637
3128284	cshd	d0.avif	2446556
3128284	cshd	d0.jxl	3954851
3128284	cshd	d0p.jxl	5831626
3128284	cshd	d0.webp	4632742
3173147	flat	source	5456511
3173147	flat	d0.avif	2068429
3173147	flat	d0.jxl	3411289
3173147	flat	d0p.jxl	5689045
3173147	flat	d0.webp	3226120
3213053	cshd	source	6128101
3213053	cshd	d0.avif	2357420
3213053	cshd	d0.jxl	3750072
3213053	cshd	d0p.jxl	6428463
3213053	cshd	d0.webp	4515624
3361674	flat	source	1608113
3361674	flat	d0.avif	949627
3361674	flat	d0.jxl	1139536
3361674	flat	d0p.jxl	3104746
3361674	flat	d0.webp	1624642
