id	cat	testId	dssim
3128284	cshd	d1.jxl	0.00038273
3128284	cshd	d2.jxl	0.00090222
3128284	cshd	nl.webp	0.00008655
3128284	cshd	p56.webp	0.00032279
3128284	cshd	q90.avif	0.00030301
3128284	cshd	q95.webp	0.00045705
3128284	cshd	snl.jxl	0.00009601
3173147	flat	d1.jxl	0.00012782
3173147	flat	d2.jxl	0.00024708
3173147	flat	nl.webp	0.00002192
3173147	flat	p56.webp	0.00025621
3173147	flat	q90.avif	0.00015193
3173147	flat	q95.webp	0.00025163
3173147	flat	snl.jxl	0.00004611
3213053	cshd	d1.jxl	0.00016400
3213053	cshd	d2.jxl	0.00030967
3213053	cshd	nl.webp	0.00002462
3213053	cshd	p56.webp	0.00063158
3213053	cshd	q90.avif	0.00032536
3213053	cshd	q95.webp	0.00063937
3213053	cshd	snl.jxl	0.00006241
3361674	flat	d1.jxl	0.00012503
3361674	flat	d2.jxl	0.00020623
3361674	flat	nl.webp	0.00002235
3361674	flat	p56.webp	0.00034992
3361674	flat	q90.avif	0.00016693
3361674	flat	q95.webp	0.00033507
3361674	flat	snl.jxl	0.00006082
