id	cat	testId	ssimu2
3128284	cshd	d1.jxl	87.77619408
3128284	cshd	d2.jxl	82.85494161
3128284	cshd	g85.jp2	88.41647449
3128284	cshd	jph	-95.83845914
3128284	cshd	jph.ppm	91.40000177
3128284	cshd	nl.webp	90.98417621
3128284	cshd	o85.jp2	86.74539910
3128284	cshd	p56.webp	86.92041354
3128284	cshd	q90.avif	87.19124984
3128284	cshd	q92.webp	83.13026461
3128284	cshd	q95.webp	85.23875441
3128284	cshd	snl.jxl	91.21584126
3173147	flat	d1.jxl	-124.93181914
3173147	flat	d2.jxl	-124.86340083
3173147	flat	g85.jp2	-124.43623767
3173147	flat	jph	-75.88756957
3173147	flat	jph.ppm	-125.04598067
3173147	flat	nl.webp	-125.03458133
3173147	flat	o85.jp2	84.07044104
3173147	flat	p56.webp	84.54242168
3173147	flat	q90.avif	-125.17096456
3173147	flat	q92.webp	-124.70587864
3173147	flat	q95.webp	-124.65295471
3173147	flat	snl.jxl	-125.00516768
3213053	cshd	d1.jxl	90.90886586
3213053	cshd	d2.jxl	87.74486304
3213053	cshd	g85.jp2	71.30000155
3213053	cshd	jph	-64.22369165
3213053	cshd	jph.ppm	93.30286084
3213053	cshd	nl.webp	93.47790621
3213053	cshd	o85.jp2	69.91113848
3213053	cshd	p56.webp	82.91969324
3213053	cshd	q90.avif	87.44055140
3213053	cshd	q92.webp	82.53992477
3213053	cshd	q95.webp	82.55701733
3213053	cshd	snl.jxl	93.27953359
3361674	flat	d1.jxl	85.83133975
3361674	flat	d2.jxl	84.53605258
3361674	flat	g85.jp2	85.07614754
3361674	flat	jph	-76.84025269
3361674	flat	jph.ppm	87.18819374
3361674	flat	nl.webp	87.35562259
3361674	flat	o85.jp2	82.89643517
3361674	flat	p56.webp	80.45501446
3361674	flat	q90.avif	84.71884460
3361674	flat	q92.webp	80.63430217
3361674	flat	q95.webp	80.80320294
3361674	flat	snl.jxl	87.00384218
