id	cat	testId	size
3128284	cshd	source	5913637
3128284	cshd	d1.jxl	480528
3128284	cshd	d2.jxl	299307
3128284	cshd	p56.webp	992972
3128284	cshd	q95.jpg	1282957
3128284	cshd	q95.jxl	1085788
3128284	cshd	q95p.jpg	1274533
3128284	cshd	q95p.jxl	1085647
3128284	cshd	q95.webp	687444
3173147	flat	source	5456511
3173147	flat	d1.jxl	588461
3173147	flat	d2.jxl	387582
3173147	flat	p56.webp	777000
3173147	flat	q95.jpg	1715897
3173147	flat	q95.jxl	1202353
3173147	flat	q95p.jpg	1602022
3173147	flat	q95p.jxl	1208665
3173147	flat	q95.webp	795334
3213053	cshd	source	6128101
3213053	cshd	d1.jxl	491475
3213053	cshd	d2.jxl	309271
3213053	cshd	p56.webp	451378
3213053	cshd	q95.jpg	1352447
3213053	cshd	q95.jxl	996289
3213053	cshd	q95p.jpg	1300048
3213053	cshd	q95p.jxl	1008752
3213053	cshd	q95.webp	615888
3361674	flat	source	1608113
3361674	flat	d1.jxl	227465
3361674	flat	d2.jxl	162197
3361674	flat	p56.webp	299990
3361674	flat	q95.jpg	828792
3361674	flat	q95.jxl	491189
3361674	flat	q95p.jpg	752949
3361674	flat	q95p.jxl	500317
3361674	flat	q95.webp	317816
3128284	cshd	source	5913637
3128284	cshd	d0.avif	2446556
3128284	cshd	d0.jxl	3975419
3128284	cshd	d0.webp	4632742
3128284	cshd	q95.avif	1131037
3173147	flat	source	5456511
3173147	flat	d0.avif	2068429
3173147	flat	d0.jxl	3618307
3173147	flat	d0.webp	3226120
3173147	flat	q95.avif	986015
3213053	cshd	source	6128101
3213053	cshd	d0.avif	2357420
3213053	cshd	d0.jxl	4013400
3213053	cshd	d0.webp	4515624
3213053	cshd	q95.avif	796090
3361674	flat	source	1608113
3361674	flat	d0.avif	949627
3361674	flat	d0.jxl	1308571
3361674	flat	d0.webp	1624642
3361674	flat	q95.avif	542682
