id	cat	testId	size
2990286	3d	source	6050700
2990286	3d	d0.avif	5248258
2990286	3d	d0.jxl	4239678
2990286	3d	d0p.jxl	6167440
2990286	3d	d0.webp	4515266
3386129	3d	source	9411466
3386129	3d	d0.avif	8641746
3386129	3d	d0.jxl	6450642
3386129	3d	d0p.jxl	9075110
3386129	3d	d0.webp	7723148
2857265	cels	source	116007
2857265	cels	d0.avif	100254
2857265	cels	d0.jxl	76889
2857265	cels	d0p.jxl	468521
2857265	cels	d0.webp	89788
3402125	cels	source	131063
3402125	cels	d0.avif	131436
3402125	cels	d0.jxl	105931
3402125	cels	d0p.jxl	524563
3402125	cels	d0.webp	109346
3060415	cshd	source	7423813
3060415	cshd	d0.avif	7010874
3060415	cshd	d0.jxl	4917027
3060415	cshd	d0p.jxl	8884015
3060415	cshd	d0.webp	5855850
3213053	cshd	source	6128101
3213053	cshd	d0.avif	5252403
3213053	cshd	d0.jxl	4013400
3213053	cshd	d0p.jxl	11414326
3213053	cshd	d0.webp	4515624
2877671	flat	source	2302543
2877671	flat	d0.avif	1785040
2877671	flat	d0.jxl	1511447
2877671	flat	d0p.jxl	4478302
2877671	flat	d0.webp	1694772
3115030	flat	source	3108320
3115030	flat	d0.avif	2225857
3115030	flat	d0.jxl	1969156
3115030	flat	d0p.jxl	6313181
3115030	flat	d0.webp	2198258
3320429	g4sa	source	1264376
3320429	g4sa	d0.avif	1821555
3320429	g4sa	d0.jxl	680942
3320429	g4sa	d0p.jxl	10933304
3320429	g4sa	d0.webp	761550
3381599	g4sa	source	628986
3381599	g4sa	d0.avif	923112
3381599	g4sa	d0.jxl	405383
3381599	g4sa	d0p.jxl	4224902
3381599	g4sa	d0.webp	418700
3314712	skec	source	2509812
3314712	skec	d0.avif	2230845
3314712	skec	d0.jxl	1753322
3314712	skec	d0p.jxl	2860963
3314712	skec	d0.webp	1935294
3400507	skec	source	1619193
3400507	skec	d0.avif	1466706
3400507	skec	d0.jxl	1307885
3400507	skec	d0p.jxl	1884400
3400507	skec	d0.webp	1371002
