id	cat	testId	size
2990286	3d	source	6050700
2990286	3d	d1.jxl	299743
2990286	3d	d2.jxl	202956
2990286	3d	nl.jxl	2323839
2990286	3d	nl.webp	4107862
2990286	3d	p56.webp	687690
2990286	3d	q90.avif	339676
2990286	3d	q95.jpg	940467
2990286	3d	q95.jxl	761953
2990286	3d	q95.webp	433216
2990286	3d	q95p.jpg	919421
2990286	3d	q95p.jxl	766329
3386129	3d	source	9411466
3386129	3d	d1.jxl	879518
3386129	3d	d2.jxl	570595
3386129	3d	nl.jxl	3974101
3386129	3d	nl.webp	5655128
3386129	3d	p56.webp	1917446
3386129	3d	q90.avif	1300880
3386129	3d	q95.jpg	2550387
3386129	3d	q95.jxl	2139180
3386129	3d	q95.webp	1303662
3386129	3d	q95p.jpg	2491500
3386129	3d	q95p.jxl	2139320
2857265	cels	source	116007
2857265	cels	d1.jxl	61663
2857265	cels	d2.jxl	42367
2857265	cels	nl.jxl	131254
2857265	cels	nl.webp	99290
2857265	cels	p56.webp	64298
2857265	cels	q90.avif	36951
2857265	cels	q95.jpg	107879
2857265	cels	q95.jxl	82695
2857265	cels	q95.webp	47100
2857265	cels	q95p.jpg	107200
2857265	cels	q95p.jxl	82971
3402125	cels	source	131063
3402125	cels	d1.jxl	90806
3402125	cels	d2.jxl	61241
3402125	cels	nl.jxl	158736
3402125	cels	nl.webp	139114
3402125	cels	p56.webp	93586
3402125	cels	q90.avif	65862
3402125	cels	q95.jpg	154468
3402125	cels	q95.jxl	117902
3402125	cels	q95.webp	73670
3402125	cels	q95p.jpg	151205
3402125	cels	q95p.jxl	118125
3060415	cshd	source	7423813
3060415	cshd	d1.jxl	857004
3060415	cshd	d2.jxl	508625
3060415	cshd	nl.jxl	3302316
3060415	cshd	nl.webp	4740946
3060415	cshd	p56.webp	1500410
3060415	cshd	q90.avif	992115
3060415	cshd	q95.jpg	1924822
3060415	cshd	q95.jxl	1594758
3060415	cshd	q95.webp	1036834
3060415	cshd	q95p.jpg	1893056
3060415	cshd	q95p.jxl	1595742
3213053	cshd	source	6128101
3213053	cshd	d1.jxl	666473
3213053	cshd	d2.jxl	410032
3213053	cshd	nl.jxl	2922331
3213053	cshd	nl.webp	4249390
3213053	cshd	p56.webp	455838
3213053	cshd	q90.avif	460947
3213053	cshd	q95.jpg	1352447
3213053	cshd	q95.jxl	996251
3213053	cshd	q95.webp	657168
3213053	cshd	q95p.jpg	1300048
3213053	cshd	q95p.jxl	1008720
2877671	flat	source	2302543
2877671	flat	d1.jxl	295200
2877671	flat	d2.jxl	188062
2877671	flat	nl.jxl	1077988
2877671	flat	nl.webp	1501628
2877671	flat	p56.webp	333480
2877671	flat	q90.avif	206030
2877671	flat	q95.jpg	675582
2877671	flat	q95.jxl	490352
2877671	flat	q95.webp	295546
2877671	flat	q95p.jpg	660963
2877671	flat	q95p.jxl	493273
3115030	flat	source	3108320
3115030	flat	d1.jxl	379914
3115030	flat	d2.jxl	257047
3115030	flat	nl.jxl	1326288
3115030	flat	nl.webp	2059718
3115030	flat	p56.webp	324418
3115030	flat	q90.avif	238847
3115030	flat	q95.jpg	806865
3115030	flat	q95.jxl	551803
3115030	flat	q95.webp	364968
3115030	flat	q95p.jpg	759537
3115030	flat	q95p.jxl	557214
3320429	g4sa	source	1264376
3320429	g4sa	d1.jxl	813554
3320429	g4sa	d2.jxl	545255
3320429	g4sa	nl.jxl	1141560
3320429	g4sa	nl.webp	634350
3320429	g4sa	p56.webp	568172
3320429	g4sa	q90.avif	380921
3320429	g4sa	q95.jpg	1471163
3320429	g4sa	q95.jxl	1020201
3320429	g4sa	q95.webp	597298
3320429	g4sa	q95p.jpg	1358307
3320429	g4sa	q95p.jxl	1020745
3381599	g4sa	source	628986
3381599	g4sa	d1.jxl	345529
3381599	g4sa	d2.jxl	236880
3381599	g4sa	nl.jxl	532996
3381599	g4sa	nl.webp	382382
3381599	g4sa	p56.webp	280806
3381599	g4sa	q90.avif	197865
3381599	g4sa	q95.jpg	661662
3381599	g4sa	q95.jxl	459164
3381599	g4sa	q95.webp	290768
3381599	g4sa	q95p.jpg	621425
3381599	g4sa	q95p.jxl	459328
3314712	skec	source	2509812
3314712	skec	d1.jxl	333351
3314712	skec	d2.jxl	175295
3314712	skec	nl.jxl	1125418
3314712	skec	nl.webp	1473550
3314712	skec	p56.webp	565816
3314712	skec	q90.avif	417920
3314712	skec	q95.jpg	546034
3314712	skec	q95.jxl	460843
3314712	skec	q95.webp	401170
3314712	skec	q95p.jpg	524386
3314712	skec	q95p.jxl	462437
3400507	skec	source	1619193
3400507	skec	d1.jxl	237183
3400507	skec	d2.jxl	127498
3400507	skec	nl.jxl	754158
3400507	skec	nl.webp	981012
3400507	skec	p56.webp	405618
3400507	skec	q90.avif	367265
3400507	skec	q95.jpg	481809
3400507	skec	q95.jxl	407065
3400507	skec	q95.webp	286514
3400507	skec	q95p.jpg	463324
3400507	skec	q95p.jxl	407230
