id	cat	testId	ssimu2
2990286	3d	d1.jxl	84.60897507
2990286	3d	d2.jxl	81.80983187
2990286	3d	nl.webp	88.57338229
2990286	3d	p56.webp	82.59593933
2990286	3d	q90.avif	83.78158491
2990286	3d	q95.webp	81.75606346
2990286	3d	snl.jxl	87.30484449
3386129	3d	d1.jxl	87.37290323
3386129	3d	d2.jxl	81.53977378
3386129	3d	nl.webp	92.06323931
3386129	3d	p56.webp	86.86348940
3386129	3d	q90.avif	89.30380102
3386129	3d	q95.webp	85.67466616
3386129	3d	snl.jxl	91.79226970
2857265	cels	d1.jxl	88.50647235
2857265	cels	d2.jxl	83.20543125
2857265	cels	nl.webp	94.03717218
2857265	cels	p56.webp	86.95301031
2857265	cels	q90.avif	89.14043665
2857265	cels	q95.webp	85.66064730
2857265	cels	snl.jxl	93.75531554
3402125	cels	d1.jxl	87.78517381
3402125	cels	d2.jxl	80.96050367
3402125	cels	nl.webp	93.85551435
3402125	cels	p56.webp	88.62802712
3402125	cels	q90.avif	91.24542271
3402125	cels	q95.webp	87.09748541
3402125	cels	snl.jxl	93.55531490
3060415	cshd	d1.jxl	86.51918201
3060415	cshd	d2.jxl	80.62299388
3060415	cshd	nl.webp	91.79708053
3060415	cshd	p56.webp	85.52250577
3060415	cshd	q90.avif	86.75297054
3060415	cshd	q95.webp	83.60403931
3060415	cshd	snl.jxl	91.52581293
3213053	cshd	d1.jxl	89.55117626
3213053	cshd	d2.jxl	86.13855765
3213053	cshd	nl.webp	93.44959377
3213053	cshd	p56.webp	82.91969324
3213053	cshd	q90.avif	87.45089957
3213053	cshd	q95.webp	82.55701733
3213053	cshd	snl.jxl	92.60166669
2877671	flat	d1.jxl	89.23483596
2877671	flat	d2.jxl	84.22802878
2877671	flat	nl.webp	94.71265824
2877671	flat	p56.webp	85.15369830
2877671	flat	q90.avif	88.08578606
2877671	flat	q95.webp	84.21751655
2877671	flat	snl.jxl	93.85483761
3115030	flat	d1.jxl	86.23062596
3115030	flat	d2.jxl	82.75323769
3115030	flat	nl.webp	91.20456824
3115030	flat	p56.webp	81.93472058
3115030	flat	q90.avif	86.13914455
3115030	flat	q95.webp	82.02493606
3115030	flat	snl.jxl	89.56394629
3320429	g4sa	d1.jxl	88.18096730
3320429	g4sa	d2.jxl	84.62925717
3320429	g4sa	nl.webp	92.31693548
3320429	g4sa	p56.webp	82.73439807
3320429	g4sa	q90.avif	89.53591118
3320429	g4sa	q95.webp	83.44887372
3320429	g4sa	snl.jxl	91.45127273
3381599	g4sa	d1.jxl	87.28547562
3381599	g4sa	d2.jxl	83.29066110
3381599	g4sa	nl.webp	92.33538103
3381599	g4sa	p56.webp	82.43467105
3381599	g4sa	q90.avif	90.30158055
3381599	g4sa	q95.webp	82.44203952
3381599	g4sa	snl.jxl	91.12565967
3314712	skec	d1.jxl	84.90008446
3314712	skec	d2.jxl	75.61858886
3314712	skec	nl.webp	92.46279085
3314712	skec	p56.webp	86.72999787
3314712	skec	q90.avif	86.23624167
3314712	skec	q95.webp	83.87446040
3314712	skec	snl.jxl	93.25844096
3400507	skec	d1.jxl	84.90622525
3400507	skec	d2.jxl	75.68647957
3400507	skec	nl.webp	92.70961071
3400507	skec	p56.webp	87.65672362
3400507	skec	q90.avif	89.17984637
3400507	skec	q95.webp	85.31778410
3400507	skec	snl.jxl	93.25894047
